valor,contagem,pct_na_dimensao
Modelo 100% remoto,1282,39.7
Modelo 100% presencial,670,20.8
Modelo híbrido com dias fixos de trabalho presencial,645,20.0
Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),631,19.5
