valor,contagem,pct_na_dimensao
Acima de 3.000,1319,40.9
de 101 a 500,538,16.7
de 1.001 a 3.000,378,11.7
de 501 a 1.000,342,10.6
de 51 a 100,270,8.4
de 11 a 50,234,7.2
de 1 a 5,95,2.9
de 6 a 10,51,1.6
