valor,2024-2025,2025-2026,variacao_pp
Modelo 100% presencial,16.3,20.8,4.5
Modelo híbrido com dias fixos de trabalho presencial,17.5,20.0,2.5
Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20.5,19.5,-1.0
Modelo 100% remoto,45.7,39.7,-6.0
