valor,2023-2024,2024-2025,2025-2026,variacao_pp
de 51 a 100,6.9,6.4,8.4,1.5
de 501 a 1.000,9.4,9.1,10.6,1.2
de 1.001 a 3.000,10.9,11.3,11.7,0.8
de 1 a 5,2.6,2.3,2.9,0.3
de 11 a 50,7.3,5.8,7.2,-0.1
de 6 a 10,1.9,1.4,1.6,-0.3
de 101 a 500,17.3,15.6,16.7,-0.6
Acima de 3.000,43.7,48.0,40.9,-2.8
