valor,2023-2024,2024-2025,2025-2026,variacao_pp
Sudeste,61.4,61.7,64.4,3.0
Centro-oeste,6.7,6.5,6.9,0.2
Norte,1.6,1.3,1.4,-0.2
Nordeste,11.8,10.2,11.3,-0.5
Sul,18.6,20.3,16.0,-2.6
