categoria,categoria_nome,opcao,primeira_edicao,ultima_edicao,qtd_edicoes,pct_inicio,pct_fim,variacao_pp
ferramenta_etl_data_engineer,ETL - Data Engineer,scripts_python,2024-2025,2025-2026,2,81.9,86.6,4.7
ferramenta_etl_data_engineer,ETL - Data Engineer,aws_glue,2024-2025,2025-2026,2,19.5,21.7,2.2
ferramenta_etl_data_engineer,ETL - Data Engineer,fivetran,2024-2025,2025-2026,2,2.2,3.5,1.3
ferramenta_etl_data_engineer,ETL - Data Engineer,stitch,2024-2025,2025-2026,2,0.8,1.8,1.0
ferramenta_etl_data_engineer,ETL - Data Engineer,google_dataflow,2024-2025,2025-2026,2,8.0,8.8,0.8
ferramenta_etl_data_engineer,ETL - Data Engineer,pentaho,2024-2025,2025-2026,2,5.2,5.7,0.5
ferramenta_etl_data_engineer,ETL - Data Engineer,knime,2024-2025,2025-2026,2,1.1,1.6,0.5
ferramenta_etl_data_engineer,ETL - Data Engineer,alteryx,2024-2025,2025-2026,2,1.5,1.9,0.4
ferramenta_etl_data_engineer,ETL - Data Engineer,talend,2024-2025,2025-2026,2,1.0,1.4,0.4
ferramenta_etl_data_engineer,ETL - Data Engineer,qlik_sense,2024-2025,2025-2026,2,1.5,1.8,0.3
ferramenta_etl_data_engineer,ETL - Data Engineer,sap_bw_etl,2024-2025,2025-2026,2,0.9,1.2,0.3
ferramenta_etl_data_engineer,ETL - Data Engineer,ibm_datastage,2024-2025,2025-2026,2,1.1,1.1,0.0
ferramenta_etl_data_engineer,ETL - Data Engineer,sql_&_stored_procedures,2024-2025,2025-2026,2,69.0,68.9,-0.1
ferramenta_etl_data_engineer,ETL - Data Engineer,nao_utilizo_ferramentas_de_etl,2024-2025,2025-2026,2,1.5,1.1,-0.4
ferramenta_etl_data_engineer,ETL - Data Engineer,databricks,2024-2025,2025-2026,2,37.4,36.9,-0.5
ferramenta_etl_data_engineer,ETL - Data Engineer,apache_airflow,2024-2025,2025-2026,2,43.8,43.1,-0.7
ferramenta_etl_data_engineer,ETL - Data Engineer,sas_data_integration,2024-2025,2025-2026,2,1.5,0.7,-0.8
ferramenta_etl_data_engineer,ETL - Data Engineer,apache_nifi,2024-2025,2025-2026,2,4.4,3.5,-0.9
ferramenta_etl_data_engineer,ETL - Data Engineer,sql_server_integration_services_ssis,2024-2025,2025-2026,2,8.3,6.7,-1.6
ferramenta_etl_data_engineer,ETL - Data Engineer,oracle_data_integrator,2024-2025,2025-2026,2,3.0,1.2,-1.8
ferramenta_de_bi,Ferramentas de BI,amazon_quicksight,2023-2024,2025-2026,3,3.7,6.8,3.1
ferramenta_de_bi,Ferramentas de BI,microsoft_powerbi,2023-2024,2025-2026,3,57.1,59.0,1.9
ferramenta_de_bi,Ferramentas de BI,grafana,2024-2025,2025-2026,2,8.0,8.7,0.7
ferramenta_de_bi,Ferramentas de BI,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,2023-2024,2025-2026,3,10.8,11.4,0.6
ferramenta_de_bi,Ferramentas de BI,superset,2024-2025,2025-2026,2,2.7,3.2,0.5
ferramenta_de_bi,Ferramentas de BI,sap_business_objects_sap_analytics,2023-2024,2025-2026,3,2.1,2.4,0.3
ferramenta_de_bi,Ferramentas de BI,pentaho,2024-2025,2025-2026,2,3.1,3.2,0.1
ferramenta_de_bi,Ferramentas de BI,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,2023-2024,2025-2026,3,10.4,10.3,-0.1
ferramenta_de_bi,Ferramentas de BI,salesforce_einstein_analytics,2023-2024,2025-2026,3,2.3,2.0,-0.3
ferramenta_de_bi,Ferramentas de BI,oracle_business_intelligence,2023-2024,2025-2026,3,1.3,0.9,-0.4
ferramenta_de_bi,Ferramentas de BI,metabase,2024-2025,2025-2026,2,8.8,8.4,-0.4
ferramenta_de_bi,Ferramentas de BI,sas_visual_analytics,2023-2024,2025-2026,3,2.3,1.7,-0.6
ferramenta_de_bi,Ferramentas de BI,alteryx,2023-2024,2025-2026,3,2.7,2.0,-0.7
ferramenta_de_bi,Ferramentas de BI,qlik_view_qlik_sense,2023-2024,2025-2026,3,5.1,4.3,-0.8
ferramenta_de_bi,Ferramentas de BI,redash,2023-2024,2025-2026,3,1.6,0.6,-1.0
ferramenta_de_bi,Ferramentas de BI,looker,2023-2024,2025-2026,3,23.8,22.6,-1.2
ferramenta_de_bi,Ferramentas de BI,looker_studiogoogle_data_studio,2023-2024,2025-2026,3,17.3,15.6,-1.7
ferramenta_de_bi,Ferramentas de BI,tableau,2024-2025,2025-2026,2,19.0,13.6,-5.4
linguagem_de_programacao,Linguagens de Programação,python,2023-2024,2024-2025,2,74.9,81.8,6.9
linguagem_de_programacao,Linguagens de Programação,sql,2023-2024,2024-2025,2,83.7,87.7,4.0
linguagem_de_programacao,Linguagens de Programação,rust,2023-2024,2024-2025,2,0.2,0.3,0.1
linguagem_de_programacao,Linguagens de Programação,julia,2023-2024,2024-2025,2,0.2,0.2,0.0
linguagem_de_programacao,Linguagens de Programação,scala,2023-2024,2024-2025,2,3.5,3.5,0.0
linguagem_de_programacao,Linguagens de Programação,net,2023-2024,2024-2025,2,1.1,0.9,-0.2
linguagem_de_programacao,Linguagens de Programação,matlab,2023-2024,2024-2025,2,0.8,0.6,-0.2
linguagem_de_programacao,Linguagens de Programação,sas_stata,2023-2024,2024-2025,2,4.0,3.6,-0.4
linguagem_de_programacao,Linguagens de Programação,c_c++_c#,2023-2024,2024-2025,2,1.9,1.3,-0.6
linguagem_de_programacao,Linguagens de Programação,php,2023-2024,2024-2025,2,1.5,0.9,-0.6
linguagem_de_programacao,Linguagens de Programação,r,2023-2024,2024-2025,2,10.8,9.8,-1.0
linguagem_de_programacao,Linguagens de Programação,javascript,2023-2024,2024-2025,2,7.5,6.2,-1.3
linguagem_de_programacao,Linguagens de Programação,java,2023-2024,2024-2025,2,9.4,8.1,-1.3
linguagem_de_programacao,Linguagens de Programação,visual_basic_vba,2023-2024,2024-2025,2,7.6,6.0,-1.6
