edicao,ranking,opcao,elegiveis,selecionaram,pct_adocao
2025-2026,1,python,2096,1929.0,92.0
2025-2026,2,sql,2096,1764.0,84.2
2025-2026,3,r,2096,328.0,15.6
2025-2026,4,scala,2096,70.0,3.3
2025-2026,5,c_c++_c#,2096,49.0,2.3
2025-2026,6,rust,2096,35.0,1.7
2025-2026,7,julia,2096,18.0,0.9
2025-2026,8,dax,2096,8.0,0.4
