tipo_uso,2023-2024,2024-2025,2025-2026,variacao_pp_23_26
Empresa paga pela solução,6.4,19.3,42.4,36.0
Uso soluções gratuitas,63.7,53.7,30.5,-33.2
Uso soluções tipo Copilot,11.8,23.7,29.8,18.0
Uso e pago pela solução,6.9,15.5,26.9,20.0
Não uso IA generativa,19.7,6.5,2.1,-17.6
