edicao,variavel,valor,contagem,total_respondentes,pct_na_dimensao
2024-2025,numero_de_funcionarios,Acima de 3.000,2335,4863,48.0
2024-2025,numero_de_funcionarios,de 1 a 5,113,4863,2.3
2024-2025,numero_de_funcionarios,de 1.001 a 3.000,548,4863,11.3
2024-2025,numero_de_funcionarios,de 101 a 500,760,4863,15.6
2024-2025,numero_de_funcionarios,de 11 a 50,284,4863,5.8
2024-2025,numero_de_funcionarios,de 501 a 1.000,444,4863,9.1
2024-2025,numero_de_funcionarios,de 51 a 100,309,4863,6.4
2024-2025,numero_de_funcionarios,de 6 a 10,70,4863,1.4
2025-2026,numero_de_funcionarios,Acima de 3.000,1319,3228,40.9
2025-2026,numero_de_funcionarios,de 1 a 5,95,3228,2.9
2025-2026,numero_de_funcionarios,de 1.001 a 3.000,378,3228,11.7
2025-2026,numero_de_funcionarios,de 101 a 500,538,3228,16.7
2025-2026,numero_de_funcionarios,de 11 a 50,234,3228,7.2
2025-2026,numero_de_funcionarios,de 501 a 1.000,342,3228,10.6
2025-2026,numero_de_funcionarios,de 501 a 100,1,3228,0.0
2025-2026,numero_de_funcionarios,de 51 a 100,270,3228,8.4
2025-2026,numero_de_funcionarios,de 6 a 10,51,3228,1.6
