edicao,opcao,elegiveis,selecionaram,pct_adocao,categoria
2023-2024,ibm,3613,0.0,0.0,cloud
2023-2024,oracle_cloud,3613,0.0,0.0,cloud
2024-2025,amazon_web_services_aws,3589,1584.0,44.1,cloud
2024-2025,azure_microsoft,3589,1108.0,30.9,cloud
2024-2025,google_cloud_gcp,3589,1050.0,29.3,cloud
2024-2025,servidores_on_premise_nao_utilizamos_cloud,3589,463.0,12.9,cloud
2024-2025,cloud_propria,3589,191.0,5.3,cloud
2024-2025,oracle_cloud,3589,143.0,4.0,cloud
2024-2025,ibm,3589,60.0,1.7,cloud
2025-2026,amazon_web_services_aws,2096,1012.0,48.3,cloud
2025-2026,azure_microsoft,2096,730.0,34.8,cloud
2025-2026,google_cloud_gcp,2096,647.0,30.9,cloud
2025-2026,servidores_on_premise_nao_utilizamos_cloud,2096,300.0,14.3,cloud
2025-2026,cloud_propria,2096,114.0,5.4,cloud
2025-2026,oracle_cloud,2096,94.0,4.5,cloud
2025-2026,ibm,2096,25.0,1.2,cloud
2023-2024,microsoft_powerbi,3772,2154.0,57.1,ferramenta_de_bi
2023-2024,looker,3772,898.0,23.8,ferramenta_de_bi
2023-2024,looker_studiogoogle_data_studio,3772,653.0,17.3,ferramenta_de_bi
2023-2024,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,3772,409.0,10.8,ferramenta_de_bi
2023-2024,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,3772,391.0,10.4,ferramenta_de_bi
2023-2024,qlik_view_qlik_sense,3772,194.0,5.1,ferramenta_de_bi
2023-2024,amazon_quicksight,3772,138.0,3.7,ferramenta_de_bi
2023-2024,alteryx,3772,100.0,2.7,ferramenta_de_bi
2023-2024,salesforce_einstein_analytics,3772,85.0,2.3,ferramenta_de_bi
2023-2024,sas_visual_analytics,3772,85.0,2.3,ferramenta_de_bi
2023-2024,sap_business_objects_sap_analytics,3772,80.0,2.1,ferramenta_de_bi
2023-2024,redash,3772,62.0,1.6,ferramenta_de_bi
2023-2024,oracle_business_intelligence,3772,49.0,1.3,ferramenta_de_bi
2023-2024,grafana,3772,0.0,0.0,ferramenta_de_bi
2023-2024,metabase,3772,0.0,0.0,ferramenta_de_bi
2023-2024,pentaho,3772,0.0,0.0,ferramenta_de_bi
2023-2024,superset,3772,0.0,0.0,ferramenta_de_bi
2023-2024,tableau,3772,0.0,0.0,ferramenta_de_bi
2024-2025,microsoft_powerbi,3619,1996.0,55.2,ferramenta_de_bi
2024-2025,looker,3619,831.0,23.0,ferramenta_de_bi
2024-2025,tableau,3619,687.0,19.0,ferramenta_de_bi
2024-2025,looker_studiogoogle_data_studio,3619,603.0,16.7,ferramenta_de_bi
2024-2025,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,3619,385.0,10.6,ferramenta_de_bi
2024-2025,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,3619,353.0,9.8,ferramenta_de_bi
2024-2025,metabase,3619,318.0,8.8,ferramenta_de_bi
2024-2025,grafana,3619,290.0,8.0,ferramenta_de_bi
2024-2025,qlik_view_qlik_sense,3619,178.0,4.9,ferramenta_de_bi
2024-2025,amazon_quicksight,3619,167.0,4.6,ferramenta_de_bi
2024-2025,pentaho,3619,113.0,3.1,ferramenta_de_bi
2024-2025,superset,3619,97.0,2.7,ferramenta_de_bi
2024-2025,salesforce_einstein_analytics,3619,92.0,2.5,ferramenta_de_bi
2024-2025,alteryx,3619,72.0,2.0,ferramenta_de_bi
2024-2025,sas_visual_analytics,3619,74.0,2.0,ferramenta_de_bi
2024-2025,redash,3619,55.0,1.5,ferramenta_de_bi
2024-2025,sap_business_objects_sap_analytics,3619,55.0,1.5,ferramenta_de_bi
2024-2025,oracle_business_intelligence,3619,36.0,1.0,ferramenta_de_bi
2025-2026,microsoft_powerbi,2106,1243.0,59.0,ferramenta_de_bi
2025-2026,looker,2106,475.0,22.6,ferramenta_de_bi
2025-2026,looker_studiogoogle_data_studio,2106,328.0,15.6,ferramenta_de_bi
2025-2026,tableau,2106,287.0,13.6,ferramenta_de_bi
2025-2026,nao_utilizo_nenhuma_ferramenta_de_bi_no_trabalho,2106,240.0,11.4,ferramenta_de_bi
2025-2026,fazemos_todas_as_analises_utilizando_apenas_excel_ou_planilhas_do_google,2106,217.0,10.3,ferramenta_de_bi
2025-2026,grafana,2106,183.0,8.7,ferramenta_de_bi
2025-2026,metabase,2106,177.0,8.4,ferramenta_de_bi
2025-2026,amazon_quicksight,2106,143.0,6.8,ferramenta_de_bi
2025-2026,qlik_view_qlik_sense,2106,91.0,4.3,ferramenta_de_bi
2025-2026,pentaho,2106,67.0,3.2,ferramenta_de_bi
2025-2026,superset,2106,67.0,3.2,ferramenta_de_bi
2025-2026,sap_business_objects_sap_analytics,2106,51.0,2.4,ferramenta_de_bi
2025-2026,alteryx,2106,43.0,2.0,ferramenta_de_bi
2025-2026,salesforce_einstein_analytics,2106,43.0,2.0,ferramenta_de_bi
2025-2026,sas_visual_analytics,2106,36.0,1.7,ferramenta_de_bi
2025-2026,oracle_business_intelligence,2106,19.0,0.9,ferramenta_de_bi
2025-2026,redash,2106,13.0,0.6,ferramenta_de_bi
2024-2025,scripts_python,929,761.0,81.9,ferramenta_etl_data_engineer
2024-2025,sql_&_stored_procedures,929,641.0,69.0,ferramenta_etl_data_engineer
2024-2025,apache_airflow,929,407.0,43.8,ferramenta_etl_data_engineer
2024-2025,databricks,929,347.0,37.4,ferramenta_etl_data_engineer
2024-2025,aws_glue,929,181.0,19.5,ferramenta_etl_data_engineer
2024-2025,sql_server_integration_services_ssis,929,77.0,8.3,ferramenta_etl_data_engineer
2024-2025,google_dataflow,929,74.0,8.0,ferramenta_etl_data_engineer
2024-2025,pentaho,929,48.0,5.2,ferramenta_etl_data_engineer
2024-2025,apache_nifi,929,41.0,4.4,ferramenta_etl_data_engineer
2024-2025,oracle_data_integrator,929,28.0,3.0,ferramenta_etl_data_engineer
2024-2025,fivetran,929,20.0,2.2,ferramenta_etl_data_engineer
2024-2025,alteryx,929,14.0,1.5,ferramenta_etl_data_engineer
2024-2025,nao_utilizo_ferramentas_de_etl,929,14.0,1.5,ferramenta_etl_data_engineer
2024-2025,qlik_sense,929,14.0,1.5,ferramenta_etl_data_engineer
2024-2025,sas_data_integration,929,14.0,1.5,ferramenta_etl_data_engineer
2024-2025,ibm_datastage,929,10.0,1.1,ferramenta_etl_data_engineer
2024-2025,knime,929,10.0,1.1,ferramenta_etl_data_engineer
2024-2025,talend,929,9.0,1.0,ferramenta_etl_data_engineer
2024-2025,sap_bw_etl,929,8.0,0.9,ferramenta_etl_data_engineer
2024-2025,stitch,929,7.0,0.8,ferramenta_etl_data_engineer
2024-2025,luigi,929,1.0,0.1,ferramenta_etl_data_engineer
2025-2026,scripts_python,566,490.0,86.6,ferramenta_etl_data_engineer
2025-2026,sql_&_stored_procedures,566,390.0,68.9,ferramenta_etl_data_engineer
2025-2026,apache_airflow,566,244.0,43.1,ferramenta_etl_data_engineer
2025-2026,databricks,566,209.0,36.9,ferramenta_etl_data_engineer
2025-2026,aws_glue,566,123.0,21.7,ferramenta_etl_data_engineer
2025-2026,google_dataflow,566,50.0,8.8,ferramenta_etl_data_engineer
2025-2026,sql_server_integration_services_ssis,566,38.0,6.7,ferramenta_etl_data_engineer
2025-2026,pentaho,566,32.0,5.7,ferramenta_etl_data_engineer
2025-2026,apache_nifi,566,20.0,3.5,ferramenta_etl_data_engineer
2025-2026,fivetran,566,20.0,3.5,ferramenta_etl_data_engineer
2025-2026,alteryx,566,11.0,1.9,ferramenta_etl_data_engineer
2025-2026,qlik_sense,566,10.0,1.8,ferramenta_etl_data_engineer
2025-2026,stitch,566,10.0,1.8,ferramenta_etl_data_engineer
2025-2026,knime,566,9.0,1.6,ferramenta_etl_data_engineer
2025-2026,talend,566,8.0,1.4,ferramenta_etl_data_engineer
2025-2026,oracle_data_integrator,566,7.0,1.2,ferramenta_etl_data_engineer
2025-2026,sap_bw_etl,566,7.0,1.2,ferramenta_etl_data_engineer
2025-2026,ibm_datastage,566,6.0,1.1,ferramenta_etl_data_engineer
2025-2026,nao_utilizo_ferramentas_de_etl,566,6.0,1.1,ferramenta_etl_data_engineer
2025-2026,sas_data_integration,566,4.0,0.7,ferramenta_etl_data_engineer
2025-2026,luigi,566,0.0,0.0,ferramenta_etl_data_engineer
2024-2025,scripts_python,1669,845.0,50.6,ferramenta_etl_data_analyst
2024-2025,sql_&_stored_procedures,1669,801.0,48.0,ferramenta_etl_data_analyst
2024-2025,databricks,1669,380.0,22.8,ferramenta_etl_data_analyst
2024-2025,nao_utilizo_ferramentas_de_etl,1669,267.0,16.0,ferramenta_etl_data_analyst
2024-2025,apache_airflow,1669,151.0,9.0,ferramenta_etl_data_analyst
2024-2025,sql_server_integration_services_ssis,1669,81.0,4.9,ferramenta_etl_data_analyst
2024-2025,pentaho,1669,75.0,4.5,ferramenta_etl_data_analyst
2024-2025,aws_glue,1669,68.0,4.1,ferramenta_etl_data_analyst
2024-2025,qlik_sense,1669,52.0,3.1,ferramenta_etl_data_analyst
2024-2025,google_dataflow,1669,41.0,2.5,ferramenta_etl_data_analyst
2024-2025,alteryx,1669,36.0,2.2,ferramenta_etl_data_analyst
2024-2025,knime,1669,29.0,1.7,ferramenta_etl_data_analyst
2024-2025,sas_data_integration,1669,27.0,1.6,ferramenta_etl_data_analyst
2024-2025,oracle_data_integrator,1669,17.0,1.0,ferramenta_etl_data_analyst
2024-2025,ibm_datastage,1669,11.0,0.7,ferramenta_etl_data_analyst
2024-2025,talend,1669,10.0,0.6,ferramenta_etl_data_analyst
2024-2025,apache_nifi,1669,8.0,0.5,ferramenta_etl_data_analyst
2024-2025,fivetran,1669,9.0,0.5,ferramenta_etl_data_analyst
2024-2025,sap_bw_etl,1669,9.0,0.5,ferramenta_etl_data_analyst
2024-2025,stitch,1669,3.0,0.2,ferramenta_etl_data_analyst
2024-2025,luigi,1669,1.0,0.1,ferramenta_etl_data_analyst
2025-2026,scripts_python,929,538.0,57.9,ferramenta_etl_data_analyst
2025-2026,sql_&_stored_procedures,929,495.0,53.3,ferramenta_etl_data_analyst
2025-2026,databricks,929,218.0,23.5,ferramenta_etl_data_analyst
2025-2026,nao_utilizo_ferramentas_de_etl,929,130.0,14.0,ferramenta_etl_data_analyst
2025-2026,apache_airflow,929,58.0,6.2,ferramenta_etl_data_analyst
2025-2026,sql_server_integration_services_ssis,929,54.0,5.8,ferramenta_etl_data_analyst
2025-2026,aws_glue,929,39.0,4.2,ferramenta_etl_data_analyst
2025-2026,pentaho,929,26.0,2.8,ferramenta_etl_data_analyst
2025-2026,qlik_sense,929,22.0,2.4,ferramenta_etl_data_analyst
2025-2026,google_dataflow,929,20.0,2.2,ferramenta_etl_data_analyst
2025-2026,alteryx,929,19.0,2.0,ferramenta_etl_data_analyst
2025-2026,knime,929,18.0,1.9,ferramenta_etl_data_analyst
2025-2026,sas_data_integration,929,15.0,1.6,ferramenta_etl_data_analyst
2025-2026,oracle_data_integrator,929,11.0,1.2,ferramenta_etl_data_analyst
2025-2026,fivetran,929,8.0,0.9,ferramenta_etl_data_analyst
